date,text,year,month,rating
"Mar 20, 2023","Horrible , customer 16 month make charge card $ 2416.28 . double charge nowhere . challenged charge say `` PROBLEM `` . hire attorney fight . make hard pay loan early . say , BUYER BEWARE ! ! ! ! ...",2023,3,1
"Mar 20, 2023",Process extremely easy,2023,3,5
"Mar 18, 2023",experience good rate really high people try consolidate pay debt,2023,3,3
"Mar 18, 2023",minimum credit score place ? want know apply wo n't affect score .,2023,3,3
"Mar 17, 2023",outstanding chance credit karma get approve $ 2100 . put half loan towards credit card personal loan . retail card CVV expiration date ’ really apply loan need go ....,2023,3,3
"Mar 16, 2023","request loan , quick speedy process . Received reply right away . Approved receive loan amount couple business day ( direct deposit ) ! ...",2023,3,5
"Mar 16, 2023",Love . give loan struggle debt consolidation . debt improve credit time ....,2023,3,5
"Mar 16, 2023","2nd loan Upgrade , everything easy , paid creditor directly quickly . Also allow pick due coincide rental check . Overall great company ...",2023,3,5
"Mar 16, 2023","Wonderful helpful . get loan help consolidate credit card . quick , responsive , applicantion easy , money account next day ! Definitely recommend ....",2023,3,5
"Mar 16, 2023","apply loan approve , get payment plan money within day .",2023,3,4
"Mar 16, 2023",Excellent Process,2023,3,5
"Mar 15, 2023",Never would imagine approve loan easy . answer question confirm identity day process ....,2023,3,5
"Mar 15, 2023",quick easy ! Would recommend .,2023,3,5
"Mar 15, 2023","process super easy simple , felt confident go knew outstanding approval odds hand . ’ happy chose upgrade ...",2023,3,5
"Mar 15, 2023",recently get personal loan smooth easy get money account within 2 day free save account secu great customer service ...,2023,3,5
"Mar 15, 2023","promise , quick easily do online . loan acct 2 day . Everything present clearly . recommend ....",2023,3,5
"Mar 14, 2023","appreciate follow call verify information . smoothest process loan , fund account within 48 hour ....",2023,3,5
"Mar 14, 2023",like credit karma,2023,3,5
"Mar 14, 2023","Quick , fairly easy friendly service .",2023,3,4
"Mar 14, 2023",Super slick expeditious process .,2023,3,5
"Mar 14, 2023","Easy , quick , hassle . Funds 3 5 day .",2023,3,5
