date,id,username,likeCount,retweetCount,language,year,month,content
2023-04-14 18:26:34+00:00,1646943040290840576,FintechPolicyUS,1,0,en,2023,4,appreciate commitment innovation membership met charlesvice head office financialtechnology access
2023-04-13 21:23:12+00:00,1646625104078737409,ndrew_27,0,0,en,2023,4,await day get zelle
2023-04-12 22:55:11+00:00,1646285865637801986,BankMindful,0,0,en,2023,4,tuesday april deadline file tax need make payment could use cash back debit card cash back would likely flat fee
2023-04-09 19:01:49+00:00,1645139971936866308,Kurtisringo,0,0,en,2023,4,blue check verify legit account
2023-04-07 09:08:33+00:00,1644265896494665730,CoinpediaEvents,2,1,en,2023,4,big name fintech speak miss opportunity time register use promo code partner get off
2023-04-06 13:35:14+00:00,1643970622362460163,CJCarte50664477,0,0,en,2023,4,get card never paid late cut credit line happy
2023-04-05 13:13:44+00:00,1643602823005839362,RobK_joker,0,0,en,2023,4,bullshit term suspend card permanently base upon card delinquent covid yet get paid matter bullshit company hack term
2023-04-03 18:45:25+00:00,1642961519057969177,DJMix321,3,1,en,2023,4,want join free check get virtual card make single transaction referee get legit verify lfgoooo link
2023-04-03 12:46:09+00:00,1642871108259966978,RobertLeeMayo12,0,0,ht,2023,4,handyman
2023-04-03 12:44:39+00:00,1642870726972567554,RobertLeeMayo12,0,0,en,2023,4,meaning suppose one
2023-04-02 13:24:49+00:00,1642518449556688896,Crow970,0,0,en,2023,4,get card double dip bank amount dispute one charge report late payment even though double dipped crook creditcards credit crook theifs creditsmart consumerbeware upgrade
2023-04-01 15:30:48+00:00,1642187768326508544,MsXmas2018,0,0,en,2023,4,use upgrade take payment account authorize refuse give refund contact bank filing dispute
2023-03-31 19:58:37+00:00,1641892776089645056,Vic_from_Mars,0,0,en,2023,3,receive email company see reduce credit line risk
2023-03-31 18:14:49+00:00,1641866656187289600,Vic_from_Mars,0,0,en,2023,3,thanks engage company prepare use credit line set reduce credit even though collection late payment judgement amp balance credit usage pas
2023-03-30 19:50:22+00:00,1641528313918136334,H0TTAKEHEATHEN,0,0,en,2023,3,contact potential fraud
2023-03-29 15:51:49+00:00,1641105891654004737,kornykory,0,0,en,2023,3,apy get also earn cash back purchase start account today link make purchase debit card get free direct deposit require
2023-03-28 17:12:39+00:00,1640763846406045696,ReneHer63267502,0,0,qam,2023,3,
2023-03-28 10:03:24+00:00,1640655822979051523,megatron992,0,0,en,2023,3,someone explain take full week payment actually credit account
2023-03-23 21:12:58+00:00,1639012385837969409,DippedInCheese,0,0,en,2023,3,get junk mail yall today make look like check big deal attempt deception odd choice first impression financial institution aah fool banking detail
2023-03-21 10:05:45+00:00,1638119700268978177,jdprep25,0,0,en,2023,3,
